ra,fase,idade,ano_ingresso,iaa,ieg,ips,ida,ipv,ian,defasagem,inde,ano,fase_num,anos_na_pm,risco_defasagem_atual,gap_iaa_ida,gap_ieg_ida,media_indicadores,indicadores_baixos_qtd,fase_grupo,risco_proximo_ano,ano_origem
RA-1,7,19.0,2016,8.3,4.1,5.6,19.0,7.278,5.0,-1,5.783,2022,7.0,6.0,1.0,-10.7,-14.9,8.213,3,7,0,2022
RA-2,7,17.0,2017,8.8,5.2,6.3,17.0,6.778,10.0,0,7.055,2022,7.0,5.0,0.0,-8.2,-11.8,9.013,1,7,0,2022
RA-5,7,17.0,2016,7.9,8.6,5.6,17.0,7.389,10.0,0,7.427,2022,7.0,6.0,0.0,-9.1,-8.4,9.414833333333334,1,7,0,2022
RA-6,7,18.0,2021,7.9,4.5,7.5,18.0,7.222,5.0,-1,5.848,2022,7.0,1.0,1.0,-10.1,-13.5,8.353666666666667,2,7,0,2022
RA-7,7,18.0,2017,0.0,8.4,7.5,18.0,7.667,5.0,-1,6.818,2022,7.0,5.0,1.0,-18.0,-9.6,7.761166666666667,2,7,0,2022
RA-12,7,17.0,2020,0.0,4.0,6.9,17.0,6.389,10.0,0,4.832,2022,7.0,2.0,0.0,-17.0,-13.0,7.3815,2,7,0,2022
RA-13,7,18.0,2016,7.9,7.4,7.5,18.0,8.056,5.0,-1,6.902,2022,7.0,6.0,1.0,-10.1,-10.6,8.975999999999999,1,7,0,2022
RA-14,7,21.0,2022,7.9,8.3,7.5,21.0,7.75,5.0,-1,6.793,2022,7.0,0.0,1.0,-13.1,-12.7,9.575000000000001,1,7,0,2022
RA-17,7,20.0,2022,8.8,10.0,7.5,20.0,8.292,5.0,-1,8.068,2022,7.0,0.0,1.0,-11.2,-10.0,9.932,1,7,0,2022
RA-19,7,19.0,2022,7.9,9.5,7.5,19.0,7.0,5.0,-1,7.665,2022,7.0,0.0,1.0,-11.1,-9.5,9.316666666666666,1,7,1,2022
RA-21,7,18.0,2022,9.6,9.2,7.5,18.0,7.25,5.0,-1,6.945,2022,7.0,0.0,1.0,-8.4,-8.8,9.424999999999999,1,7,0,2022
RA-23,6,17.0,2021,8.3,8.2,8.1,17.0,8.556,5.0,-1,7.677,2022,6.0,1.0,1.0,-8.7,-8.8,9.192666666666666,1,6,0,2022
RA-25,6,17.0,2021,8.3,8.3,8.8,17.0,9.667,5.0,-1,7.979,2022,6.0,1.0,1.0,-8.7,-8.7,9.511166666666668,1,6,0,2022
RA-26,6,17.0,2022,9.6,8.8,10.0,17.0,10.0,5.0,-1,8.677,2022,6.0,0.0,1.0,-7.4,-8.2,10.066666666666666,1,6,1,2022
RA-27,6,17.0,2016,0.0,7.6,8.1,17.0,9.111,5.0,-1,7.124,2022,6.0,6.0,1.0,-17.0,-9.4,7.8018333333333345,2,6,0,2022
RA-29,6,17.0,2022,0.0,4.0,8.8,17.0,7.611,5.0,-1,4.985,2022,6.0,0.0,1.0,-17.0,-13.0,7.0685,3,6,0,2022
RA-31,6,17.0,2019,10.0,9.5,9.4,17.0,10.0,5.0,-1,8.843,2022,6.0,3.0,1.0,-7.0,-7.5,10.15,1,6,0,2022
RA-32,6,16.0,2018,8.8,5.2,8.8,16.0,7.944,10.0,0,7.37,2022,6.0,4.0,0.0,-7.199999999999999,-10.8,9.457333333333333,1,6,0,2022
RA-34,6,17.0,2016,9.6,4.8,8.1,17.0,7.278,5.0,-1,6.259,2022,6.0,6.0,1.0,-7.4,-12.2,8.629666666666667,2,6,0,2022
RA-35,6,17.0,2019,10.0,9.6,9.4,17.0,10.0,5.0,-1,8.965,2022,6.0,3.0,1.0,-7.0,-7.4,10.166666666666666,1,6,0,2022
RA-36,6,17.0,2019,9.2,9.0,6.9,17.0,8.944,5.0,-1,7.876,2022,6.0,3.0,1.0,-7.800000000000001,-8.0,9.340666666666667,1,6,0,2022
RA-38,6,17.0,2017,9.2,8.9,7.5,17.0,9.833,5.0,-1,8.523,2022,6.0,5.0,1.0,-7.800000000000001,-8.1,9.572166666666666,1,6,0,2022
RA-39,6,16.0,2017,0.0,4.8,6.9,16.0,6.111,10.0,0,6.033,2022,6.0,5.0,0.0,-16.0,-11.2,7.301833333333334,2,6,0,2022
RA-40,5,16.0,2016,7.9,7.8,7.5,16.0,7.75,5.0,-1,7.203,2022,5.0,6.0,1.0,-8.1,-8.2,8.658333333333333,1,5,1,2022
RA-42,5,15.0,2019,8.3,7.9,5.6,15.0,6.083,10.0,0,6.72,2022,5.0,3.0,0.0,-6.699999999999999,-7.1,8.813833333333333,1,5,1,2022
RA-43,5,16.0,2019,6.3,6.5,5.6,16.0,5.958,5.0,-1,5.486,2022,5.0,3.0,1.0,-9.7,-9.5,7.559666666666666,3,5,1,2022
RA-44,5,17.0,2021,5.0,5.9,7.5,17.0,7.292,5.0,-2,5.542,2022,5.0,1.0,1.0,-12.0,-11.1,7.948666666666667,3,5,1,2022
RA-45,5,15.0,2019,7.9,8.9,5.6,15.0,7.417,10.0,0,7.591,2022,5.0,3.0,0.0,-7.1,-6.1,9.136166666666666,1,5,0,2022
RA-46,5,17.0,2022,8.8,8.4,6.3,17.0,7.083,5.0,-2,6.048,2022,5.0,0.0,1.0,-8.2,-8.6,8.763833333333332,1,5,1,2022
RA-48,5,15.0,2017,6.7,8.4,7.5,15.0,8.5,10.0,0,8.006,2022,5.0,5.0,0.0,-8.3,-6.6,9.35,0,5,0,2022
RA-49,5,17.0,2022,7.5,7.4,7.5,17.0,7.042,5.0,-2,6.304,2022,5.0,0.0,1.0,-9.5,-9.6,8.573666666666666,1,5,0,2022
RA-52,5,13.0,2018,9.6,8.9,7.5,13.0,7.5,10.0,2,7.861,2022,5.0,4.0,0.0,-3.4000000000000004,-4.1,9.416666666666666,0,5,0,2022
RA-53,5,17.0,2022,9.2,7.0,7.5,17.0,6.458,5.0,-2,6.725,2022,5.0,0.0,1.0,-7.800000000000001,-10.0,8.693,1,5,1,2022
RA-55,5,16.0,2017,7.1,7.6,5.6,16.0,6.5,5.0,-1,6.576,2022,5.0,5.0,1.0,-8.9,-8.4,7.966666666666666,2,5,1,2022
RA-56,5,15.0,2019,10.0,10.0,7.5,15.0,8.25,10.0,0,8.404,2022,5.0,3.0,0.0,-5.0,-5.0,10.125,0,5,0,2022
